ADDRESS,CERT,CITY,COUNTY,NAME,OFFNAME,SERVTYPE,STALP,STCNTY,STNAME,ZIP,full_address,missed_address,lat,long
4001 Chestnut St,628,Philadelphia,Philadelphia,"JPMorgan Chase Bank, National Association",40th and Chestnut Branch,11,PA,42101,Pennsylvania,19104,"4001 Chestnut St, Philadelphia, PA 19104",False,39.955915,-75.202374
990 Spring Garden St,7593,Philadelphia,Philadelphia,First Citizens Community Bank,Center City Branch Office,11,PA,42101,Pennsylvania,19123,"990 Spring Garden St, Philadelphia, PA 19123",False,39.961536,-75.154412
248 Market St,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",Old City Branch,11,PA,42101,Pennsylvania,19106,"248 Market St, Philadelphia, PA 19106",False,39.949956,-75.145511
30 S 15th St,33568,Philadelphia,Philadelphia,United Bank of Philadelphia,Former Main Office Branch,11,PA,42101,Pennsylvania,19102,"30 S 15th St, Philadelphia, PA 19102",False,39.95156,-75.165819
2900 Comly Rd,27799,Philadelphia,Philadelphia,William Penn Bank,Comly Road Branch,11,PA,42101,Pennsylvania,19154,"2900 Comly Rd, Philadelphia, PA 19154",False,40.098106,-74.995902
12051 Knights Rd,9846,Philadelphia,Philadelphia,Truist Bank,Woodhaven Branch,11,PA,42101,Pennsylvania,19154,"12051 Knights Rd, Philadelphia, PA 19154",False,40.085845,-74.972083
4625 Frankford Ave,9846,Philadelphia,Philadelphia,Truist Bank,FRANKFORD BRANCH,11,PA,42101,Pennsylvania,19124,"4625 Frankford Ave, Philadelphia, PA 19124",False,40.01517,-75.084774
8000 Frankford Ave,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",FRANKFORD AVE BRANCH,11,PA,42101,Pennsylvania,19136,"8000 Frankford Ave, Philadelphia, PA 19136",False,40.041612,-75.028179
117 S 18th St,588,Philadelphia,Philadelphia,Manufacturers and Traders Trust Company,RITTENHOUSE SQUARE BRANCH,11,PA,42101,Pennsylvania,19103,"117 S 18th St, Philadelphia, PA 19103",False,39.951092,-75.170253
1220 N Broad St,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",Broad and Stiles Branch,11,PA,42101,Pennsylvania,19121,"1220 N Broad St, Philadelphia, PA 19121",False,39.972654,-75.15961
1000 S Broad St,628,Philadelphia,Philadelphia,"JPMorgan Chase Bank, National Association",Broad Street and Washington Avenue,11,PA,42101,Pennsylvania,19146,"1000 S Broad St, Philadelphia, PA 19146",False,39.938373,-75.167316
